Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20.0,LAC,NBA,C,53.0,13.0,771.0,93.0,147.0,0.633,0.0,0.0,,93.0,147.0,0.633,0.633,42.0,109.0,0.385,72.0,165.0,237.0,11.0,11.0,59.0,41.0,96.0,228.0
2009-10,21.0,LAC,NBA,C,70.0,12.0,1137.0,144.0,238.0,0.605,0.0,2.0,0.0,144.0,236.0,0.61,0.605,48.0,128.0,0.375,122.0,230.0,352.0,21.0,16.0,62.0,75.0,152.0,336.0
2010-11,22.0,LAC,NBA,C,80.0,66.0,2047.0,234.0,341.0,0.686,0.0,1.0,0.0,234.0,340.0,0.688,0.686,98.0,217.0,0.452,207.0,368.0,575.0,42.0,41.0,142.0,101.0,255.0,566.0
2011-12,23.0,LAC,NBA,C,66.0,66.0,1798.0,206.0,326.0,0.632,0.0,1.0,0.0,206.0,325.0,0.634,0.632,74.0,141.0,0.525,202.0,344.0,546.0,17.0,30.0,134.0,74.0,189.0,486.0
2012-13,24.0,LAC,NBA,C,82.0,82.0,2010.0,314.0,488.0,0.643,0.0,0.0,,314.0,488.0,0.643,0.643,96.0,249.0,0.386,210.0,384.0,594.0,28.0,48.0,112.0,100.0,192.0,724.0
2013-14,25.0,LAC,NBA,C,82.0,82.0,2870.0,348.0,515.0,0.676,0.0,0.0,,348.0,515.0,0.676,0.676,160.0,374.0,0.428,331.0,783.0,1114.0,74.0,80.0,203.0,123.0,264.0,856.0
2014-15,26.0,LAC,NBA,C,82.0,82.0,2820.0,379.0,534.0,0.71,1.0,4.0,0.25,378.0,530.0,0.713,0.711,187.0,471.0,0.397,397.0,829.0,1226.0,61.0,81.0,183.0,109.0,245.0,946.0
2015-16,27.0,LAC,NBA,C,77.0,77.0,2598.0,357.0,508.0,0.703,0.0,1.0,0.0,357.0,507.0,0.704,0.703,266.0,619.0,0.43,267.0,792.0,1059.0,90.0,51.0,177.0,107.0,207.0,980.0
2016-17,28.0,LAC,NBA,C,81.0,81.0,2570.0,412.0,577.0,0.714,0.0,2.0,0.0,412.0,575.0,0.717,0.714,205.0,425.0,0.482,298.0,816.0,1114.0,96.0,51.0,134.0,115.0,212.0,1029.0
2017-18,29.0,LAC,NBA,C,77.0,77.0,2424.0,373.0,578.0,0.645,0.0,0.0,,373.0,578.0,0.645,0.645,181.0,312.0,0.58,329.0,842.0,1171.0,117.0,39.0,71.0,137.0,203.0,927.0
2018-19,30.0,TOT,NBA,C,69.0,69.0,2047.0,286.0,446.0,0.641,0.0,0.0,,286.0,446.0,0.641,0.641,186.0,264.0,0.705,225.0,677.0,902.0,156.0,42.0,73.0,153.0,167.0,758.0
2018-19,30.0,DAL,NBA,C,50.0,50.0,1554.0,208.0,323.0,0.644,0.0,0.0,,208.0,323.0,0.644,0.644,135.0,198.0,0.682,161.0,525.0,686.0,99.0,33.0,53.0,111.0,125.0,551.0
2018-19,30.0,NYK,NBA,C,19.0,19.0,493.0,78.0,123.0,0.634,0.0,0.0,,78.0,123.0,0.634,0.634,51.0,66.0,0.773,64.0,152.0,216.0,57.0,9.0,20.0,42.0,42.0,207.0
2019-20,31.0,BRK,NBA,C,56.0,6.0,1234.0,191.0,287.0,0.666,0.0,0.0,,191.0,287.0,0.666,0.666,83.0,122.0,0.68,141.0,420.0,561.0,105.0,18.0,52.0,74.0,114.0,465.0
2020-21,32.0,BRK,NBA,C,57.0,43.0,1246.0,190.0,249.0,0.763,0.0,1.0,0.0,190.0,248.0,0.766,0.763,46.0,92.0,0.5,117.0,310.0,427.0,93.0,17.0,65.0,85.0,116.0,426.0
2021-22,33.0,TOT,NBA,C,48.0,20.0,622.0,92.0,143.0,0.643,0.0,0.0,,92.0,143.0,0.643,0.643,22.0,40.0,0.55,83.0,181.0,264.0,21.0,12.0,35.0,37.0,71.0,206.0
2021-22,33.0,LAL,NBA,C,32.0,19.0,408.0,60.0,89.0,0.674,0.0,0.0,,60.0,89.0,0.674,0.674,12.0,26.0,0.462,51.0,121.0,172.0,13.0,10.0,26.0,21.0,50.0,132.0
2021-22,33.0,PHI,NBA,C,16.0,1.0,214.0,32.0,54.0,0.593,0.0,0.0,,32.0,54.0,0.593,0.593,10.0,14.0,0.714,32.0,60.0,92.0,8.0,2.0,9.0,16.0,21.0,74.0
2022-23,34.0,DEN,NBA,C,38.0,7.0,559.0,86.0,112.0,0.768,1.0,1.0,1.0,85.0,111.0,0.766,0.772,20.0,46.0,0.435,49.0,145.0,194.0,32.0,11.0,23.0,45.0,68.0,193.0
Career,,,NBA,,1018.0,783.0,26753.0,3705.0,5489.0,0.675,2.0,13.0,0.154,3703.0,5476.0,0.676,0.675,1714.0,3609.0,0.475,3050.0,7286.0,10336.0,964.0,548.0,1525.0,1376.0,2551.0,9126.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,LAC,NBA,,750.0,638.0,21045.0,2860.0,4252.0,0.673,1.0,11.0,0.091,2859.0,4241.0,0.674,0.673,1357.0,3045.0,0.446,2435.0,5553.0,7988.0,557.0,448.0,1277.0,982.0,2015.0,7078.0
2 seasons,,BRK,NBA,,113.0,49.0,2480.0,381.0,536.0,0.711,0.0,1.0,0.0,381.0,535.0,0.712,0.711,129.0,214.0,0.603,258.0,730.0,988.0,198.0,35.0,117.0,159.0,230.0,891.0
1 season,,DAL,NBA,,50.0,50.0,1554.0,208.0,323.0,0.644,0.0,0.0,,208.0,323.0,0.644,0.644,135.0,198.0,0.682,161.0,525.0,686.0,99.0,33.0,53.0,111.0,125.0,551.0
1 season,,DEN,NBA,,38.0,7.0,559.0,86.0,112.0,0.768,1.0,1.0,1.0,85.0,111.0,0.766,0.772,20.0,46.0,0.435,49.0,145.0,194.0,32.0,11.0,23.0,45.0,68.0,193.0
1 season,,LAL,NBA,,32.0,19.0,408.0,60.0,89.0,0.674,0.0,0.0,,60.0,89.0,0.674,0.674,12.0,26.0,0.462,51.0,121.0,172.0,13.0,10.0,26.0,21.0,50.0,132.0
1 season,,NYK,NBA,,19.0,19.0,493.0,78.0,123.0,0.634,0.0,0.0,,78.0,123.0,0.634,0.634,51.0,66.0,0.773,64.0,152.0,216.0,57.0,9.0,20.0,42.0,42.0,207.0
1 season,,PHI,NBA,,16.0,1.0,214.0,32.0,54.0,0.593,0.0,0.0,,32.0,54.0,0.593,0.593,10.0,14.0,0.714,32.0,60.0,92.0,8.0,2.0,9.0,16.0,21.0,74.0
